,Z,N,A,mass,lifetime
388,87,141,228,33384.0,38      s 1
389,88,140,228,28940.3,5.75   y 0.03
390,89,139,228,28894.7,6.15   h 0.02
391,90,138,228,26771.0,1.9124 y 0.0008
392,91,137,228,28924.0,22      h 1
393,92,136,228,29222.0,9.1    m 0.2
394,93,135,228,33600.0,61.4    s 1.4
395,94,134,228,36087.0,2.1    s 1.3
396,86,143,229,39362.0,11.9    s 1.3
397,87,142,229,35668.0,50.2    s 0.4
398,88,141,229,32562.0,4.0    m 0.2
399,89,140,229,30690.0,62.7    m 0.5
400,90,139,229,29585.6,7.920 ky 0.017
401,91,138,229,29897.0,1.50   d 0.05
402,92,137,229,31211.0,57.8    m 0.5
403,93,136,229,33780.0,4.00   m 0.18
404,94,135,229,37400.0,91      s 26
405,95,134,229,42150.0,1.8    s 1.5
406,87,143,230,39487.0,19.1    s 0.5
407,88,142,230,34516.0,93      m 2
408,89,141,230,33838.0,122      s 3
409,90,140,230,30862.6,75.4   ky 0.3
410,91,139,230,32174.0,17.4    d 0.5
411,92,138,230,31615.0,20.23   d 0.02
412,93,137,230,35240.0,4.6    m 0.3
413,94,136,230,36934.0,1.70   m 0.17
414,95,135,230,42930.0,40      s 16
415,87,144,231,42081.0,17.6    s 0.6
416,88,143,231,38216.0,104      s 1
417,89,142,231,35763.0,7.5    m 0.1
418,90,141,231,33815.9,25.52   h 0.01
419,91,140,231,33424.4,32.76  ky 0.11
420,92,139,231,33806.0,4.2    d 0.1
421,93,138,231,35620.0,48.8    m 0.2
422,94,137,231,38309.0,8.6    m 0.5
423,87,145,232,46073.0,5.5    s 0.6
424,88,144,232,40497.0,4.0    m 0.3
425,89,143,232,39154.0,1.98   m 0.08
426,90,142,232,35446.8,14.0   Gy 0.1
427,91,141,232,35947.0,1.32   d 0.02
428,92,140,232,34609.5,68.9    y 0.4
429,93,139,232,37360.0,14.7    m 0.3
430,94,138,232,38363.0,33.7    m 0.5
431,95,137,232,43340.0,1.31   m 0.04
432,87,146,233,48920.0,900     ms 100
433,88,145,233,44334.0,30      s 5
434,89,144,233,41308.0,145      s 10
435,90,143,233,38731.7,21.83   m 0.04
436,91,142,233,37489.5,26.975  d 0.013
437,92,141,233,36919.2,159.2   ky 0.2
438,93,140,233,37950.0,36.2    m 0.1
439,94,139,233,40050.0,20.9    m 0.4
440,95,138,233,43260.0,3.2    m 0.8
